74,ATR-0432,,,,196,04/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-19.9900605615,-56.8247044846,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
82,ATR-0433,,,,765,14/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.7444671382,-54.5356789354,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
97,ATR-0434,,M,,"111,5",16/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.7650812674,-52.0093029167,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
98,ATR-0435,,M,,"180,5",18/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.4311450128,-54.8918469452,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
116,ATR-0436,,M,,"109,5",28/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-21.5698549753,-54.1798846903,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
117,ATR-0437,,,,"995,5",28/05/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-21.5948067055,-54.0534261805,,BR163/BR267-Nova Alvorada-Casa Verde,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
139,ATR-0438,,,,735,13/06/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.445993859,-52.8551622091,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
140,ATR-0439,,,,240,13/06/13,Tamandua ,Tamandua tetradactyla,Tamanduá Mirim,-20.60348006,-52.4110901597,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
147,ATR-0440,,M,,359,15/06/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.4535050757,-55.1734796634,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
148,ATR-0441,,,,"130,5",15/06/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.4541977389,-55.1749282182,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
152,ATR-0442,,,,492,15/06/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.3123632238,-56.2414918676,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
158,ATR-0443,,,,"515,5",29/06/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.4518583842,-55.2478410393,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
165,ATR-0444,,,,"152,5",09/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-21.6258046934,-53.6324876692,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
185,ATR-0445,,,,"920,5",13/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.2925687831,-56.2829319958,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
187,ATR-0446,,,,"564,5",13/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-19.9484561955,-56.844704667,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
190,ATR-0447,,,,"449,5",22/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-21.8464465708,-52.7035361805,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
196,ATR-0448,,,,128,27/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.4603641677,-55.2619105158,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
199,ATR-0449,,,,"379,5",08/08/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.4654034692,-54.0575556213,,BR262 -Três Lagoas,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
212,ATR-0450,,M,,"277,5",10/08/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.3343261894,-56.1865807587,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
214,ATR-0451,,M,,"489,5",10/08/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.0723229405,-56.7642639014,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
223,ATR-0452,,,,"293,5",23/08/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-21.5212730169,-54.2311546922,,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
236,ATR-0453,,M,,424,24/08/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,-20.5105452916,-55.6281378644,,BR262 -Ponte Rio Paraguai,Campo Grande,MS,Brasil,pele,Etanol,"Desbiez, A.","Fischer, E"
