148,ATR-0441,-,-,-,130.5,6/15/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
152,ATR-0442,-,-,-,492,6/15/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
158,ATR-0443,-,-,-,515.5,6/29/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
165,ATR-0444,-,-,-,152.5,07/09/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
185,ATR-0445,-,-,-,920.5,7/13/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
187,ATR-0446,-,-,-,564.5,7/13/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
190,ATR-0447,-,-,-,449.5,7/22/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
196,ATR-0448,-,-,-,128,7/27/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
199,ATR-0449,-,-,-,379.5,08/08/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
212,ATR-0450,-,M,-,277.5,08/10/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
214,ATR-0451,-,M,-,489.5,08/10/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
223,ATR-0452,-,-,-,293.5,8/23/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR163/BR267-Nova Alvorada-Nova Andradina,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
236,ATR-0453,-,M,-,424,8/24/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
238,ATR-0454,-,M,-,352,8/24/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
239,ATR-0455,-,M,-,837,8/24/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
249,ATR-0456,-,M,-,747.5,09/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
250,ATR-0457,-,M,-,537.5,09/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
252,ATR-0458,-,-,-,25.5,09/07/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
256,ATR-0459,-,-,-,1149,9/20/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
275,ATR-0460,-,-,-,273.5,10/05/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
277,ATR-0461,-,-,-,499.5,10/05/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
285,ATR-0462,-,M,-,849,10/18/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Tres Lagoas,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
310,ATR-0463,-,-,-,714,11/02/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
315,ATR-0464,-,-,-,13.2,11/02/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
320,ATR-0465,-,M,-,516,11/02/13,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
341,ATR-0466,-,M,-,335,11/16/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
342,ATR-0467,-,M,-,422,11/16/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
354,ATR-0468,-,-,-,478,11/30/2013,Tamandua ,Tamandua tetradactyla,Tamandua Mirim,BR262 -Ponte Rio Paraguai,Campo Grande,MS,pele,Etanol,Desbiez A.,Fischer E,,,,,,,,,,,,,,
