objectid_1,objectid,leg_radam,leg_atual,leg_carga,clas_domi,leg_uveg,nm_uveg,leg_uantr,nm_uantr,leg_contat,nm_contat,veg_pretet,nm_pretet,legenda,shape_leng,shape_area
16338,1117,Ap.S,Ap.S,Ap.S,Ap,,,Ap,Pecuria (pastagens),,,S,Savana,Ap.S -  Pecuria (pastagens) em  Savana,3.33075,0.07096
16339,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.37096,0.00324
16340,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,0.26059,0.00123
16341,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,6.36998,0.01314
16342,7738,Sgs,Sgs,Sgs,Sgs,Sgs,Savana Gramneo-Lenhosa sem floresta-de-galeria,,,,,,,Sgs - Savana Gramneo-Lenhosa sem floresta-de-galeria,3.36154,0.04908
16343,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.10061,0.00049
16344,24,Ap.T,Ap.T,Ap.T,Ap,,,Ap,Pecuria (pastagens),,,T,Savana-Estpica,Ap.T -  Pecuria (pastagens) em  Savana-Estpica,0.26003,0.00228
16345,0,Sd2,STc/Sd,STc/Sd,Sd,Sd,Savana Florestada,,,ST,Contato Savana/Savana-Estpica,,,STc/Sd - Savana Florestada  em Contato Savana/Savana-Estpica,0.39464,0.00395
16346,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,2.19186,0.08173
16347,109,Fae,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.02742,4E-05
16349,1553,Cs1,SNc/Cs,SNc/Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,SN,Contato Savana/Floresta Estacional,,,SNc/Cs - Floresta Estacional Decidual Submontana  em Contato Savana/Floresta Estacional,0.44329,0.00347
16350,7741,Sas,Sas,Sas,Sas,Sas,Savana Arborizada sem floresta-de-galeria,,,,,,,Sas - Savana Arborizada sem floresta-de-galeria,1.95976,0.00894
16351,0,Fae,Fae,Fae,Fae,Fae,Floresta Estacional Semidecidual Aluvial com dossel emergente,,,,,,,Fae - Floresta Estacional Semidecidual Aluvial com dossel emergente,0.08963,0.00014
16352,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,0.14809,0.00083
16353,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,2.02483,0.01323
16354,109,Fae,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.02181,3E-05
16355,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.95958,0.01281
16356,109,Fae,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.01902,1E-05
16357,7741,Sas,Sas,Sas,Sas,Sas,Savana Arborizada sem floresta-de-galeria,,,,,,,Sas - Savana Arborizada sem floresta-de-galeria,0.33979,0.00177
16358,109,,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.0314,6E-05
16361,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.16443,0.00076
16362,978,Ap.F,Ap.F,Ap.F,Ap,,,Ap,Pecuria (pastagens),,,F,Floresta Estacional Semidecidual,Ap.F -  Pecuria (pastagens) em  Floresta Estacional Semidecidual,3.74889,0.02381
16363,1553,Cs1,SNc/Cs,SNc/Cs,Cs,Cs,Floresta Estacional Decidual Submontana,,,SN,Contato Savana/Floresta Estacional,,,SNc/Cs - Floresta Estacional Decidual Submontana  em Contato Savana/Floresta Estacional,0.17931,0.00055
16364,26,Ap1,Ap.SN,Ap.SN,Ap,,,Ap,Pecuria (pastagens),SN,Contato Savana/Floresta Estacional,,,Ap.SN -  Pecuria (pastagens) em Contato Savana/Floresta Estacional,1.25056,0.01747
16365,6452,Sd,Sd,Sd,Sd,Sd,Savana Florestada,,,,,,,Sd - Savana Florestada,0.1673,0.00132
16366,109,,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.00473,0
16367,106,Magua,Magua,Magua,Magua,,,,,,,,,Corpo dgua continental,0.02964,1E-05
16368,109,,Pah,Pah,Pah,Pah,Formao Pioneira com influncia fluvial e/ou lacustre herbcea,,,,,,,Pah - Formao Pioneira com influncia fluvial e/ou lacustre herbcea,0.05642,0.00013
16370,25,Ap2,Ap.ST,Ap.ST,Ap,,,Ap,Pecuria (pastagens),ST,Contato Savana/Savana-Estpica,,,Ap.ST -  Pecuria (pastagens) em Contato Savana/Savana-Estpica,0.27646,0.00161
16371,7738,Sgs,Sgs,Sgs,Sgs,Sgs,Savana Gramneo-Lenhosa sem floresta-de-galeria,,,,,,,Sgs - Savana Gramneo-Lenhosa sem floresta-de-galeria,0.73825,0.00234
16372,53,Sd1,SNc/Sd,SNc/Sd,Sd,Sd,Savana Florestada,,,SN,Contato Savana/Floresta Estacional,,,SNc/Sd - Savana Florestada  em Contato Savana/Floresta Estacional,962,0.01603
16373,2619,Fa,Fa,Fa,Fa,Fa,Floresta Estacional Semidecidual Aluvial,,,,,,,Fa - Floresta Estacional Semidecidual Aluvial,0.59821,0.00337
